Epoch,Phase,Loss,Accuracy,MCC,real_MCC,synthetic_MCC,semi-synthetic_MCC
1,Train,0.2321,91.27,0.8262,0.8300,0.8308,0.0000
1,Validation,0.1334,95.18,0.9038,0.9038,0.9038,0.0000
2,Train,0.1279,95.27,0.9055,0.9055,0.9055,0.0000
2,Validation,0.1078,96.13,0.9226,0.9226,0.9226,0.0000
3,Train,0.1101,95.90,0.9180,0.9180,0.9180,0.0000
3,Validation,0.0978,96.46,0.9292,0.9292,0.9292,0.0000
4,Train,0.1003,96.31,0.9263,0.9263,0.9263,0.0000
4,Validation,0.0925,96.61,0.9324,0.9324,0.9324,0.0000
5,Train,0.0915,96.63,0.9326,0.9326,0.9326,0.0000
5,Validation,0.0876,96.71,0.9343,0.9343,0.9343,0.0000
6,Train,0.0853,96.86,0.9372,0.9372,0.9372,0.0000
6,Validation,0.0849,96.92,0.9384,0.9384,0.9384,0.0000
7,Train,0.0804,97.01,0.9402,0.9402,0.9402,0.0000
7,Validation,0.0807,97.08,0.9418,0.9418,0.9418,0.0000
8,Train,0.0761,97.22,0.9444,0.9444,0.9444,0.0000
8,Validation,0.0765,97.21,0.9443,0.9443,0.9443,0.0000
9,Train,0.0704,97.44,0.9487,0.9487,0.9487,0.0000
9,Validation,0.0756,97.14,0.9428,0.9428,0.9428,0.0000
10,Train,0.0680,97.49,0.9497,0.9497,0.9497,0.0000
10,Validation,0.0748,97.23,0.9446,0.9446,0.9446,0.0000
11,Train,0.0489,98.18,0.9636,0.9636,0.9636,0.0000
11,Validation,0.0405,98.55,0.9709,0.9709,0.9709,0.0000
12,Train,0.0262,99.05,0.9810,0.9810,0.9810,0.0000
